2020-08-07 11:48:16,243 - synch.ar [(count=0, m1_rate=0.0, m5_rate=0.0, m15_rate=0.0) (max=0.0, min=0.0, mean=0.0, p95=0.0, p99=0.0)] duration_units=milliseconds, rate_units=events/minute
2020-08-07 11:48:16,243 - synch.efl [(count=0, m1_rate=0.0, m5_rate=0.0, m15_rate=0.0) (max=0.0, min=0.0, mean=0.0, p95=0.0, p99=0.0)] duration_units=milliseconds, rate_units=events/minute
2020-08-07 11:48:16,244 - synch.gsm [(count=0, m1_rate=0.0, m5_rate=0.0, m15_rate=0.0) (max=0.0, min=0.0, mean=0.0, p95=0.0, p99=0.0)] duration_units=milliseconds, rate_units=events/minute
2020-08-07 11:48:16,244 - synch.gst [(count=0, m1_rate=0.0, m5_rate=0.0, m15_rate=0.0) (max=0.0, min=0.0, mean=0.0, p95=0.0, p99=0.0)] duration_units=milliseconds, rate_units=events/minute
2020-08-07 11:48:16,244 - synch.ls [(count=0, m1_rate=0.0, m5_rate=0.0, m15_rate=0.0) (max=0.0, min=0.0, mean=0.0, p95=0.0, p99=0.0)] duration_units=milliseconds, rate_units=events/minute
2020-08-07 11:48:16,244 - synch.mkdir [(count=0, m1_rate=0.0, m5_rate=0.0, m15_rate=0.0) (max=0.0, min=0.0, mean=0.0, p95=0.0, p99=0.0)] duration_units=milliseconds, rate_units=events/minute
2020-08-07 11:48:16,244 - synch.mv [(count=0, m1_rate=0.0, m5_rate=0.0, m15_rate=0.0) (max=0.0, min=0.0, mean=0.0, p95=0.0, p99=0.0)] duration_units=milliseconds, rate_units=events/minute
2020-08-07 11:48:16,244 - synch.pd [(count=0, m1_rate=0.0, m5_rate=0.0, m15_rate=0.0) (max=0.0, min=0.0, mean=0.0, p95=0.0, p99=0.0)] duration_units=milliseconds, rate_units=events/minute
2020-08-07 11:48:16,244 - synch.ping [(count=0, m1_rate=0.0, m5_rate=0.0, m15_rate=0.0) (max=0.0, min=0.0, mean=0.0, p95=0.0, p99=0.0)] duration_units=milliseconds, rate_units=events/minute
2020-08-07 11:48:16,244 - synch.rf [(count=0, m1_rate=0.0, m5_rate=0.0, m15_rate=0.0) (max=0.0, min=0.0, mean=0.0, p95=0.0, p99=0.0)] duration_units=milliseconds, rate_units=events/minute
2020-08-07 11:48:16,244 - synch.rm [(count=0, m1_rate=0.0, m5_rate=0.0, m15_rate=0.0) (max=0.0, min=0.0, mean=0.0, p95=0.0, p99=0.0)] duration_units=milliseconds, rate_units=events/minute
2020-08-07 11:48:16,245 - synch.rmDir [(count=0, m1_rate=0.0, m5_rate=0.0, m15_rate=0.0) (max=0.0, min=0.0, mean=0.0, p95=0.0, p99=0.0)] duration_units=milliseconds, rate_units=events/minute
2020-08-07 11:48:16,245 - fs.aclOp [(count=70, m1_rate=2.459771743647286, m5_rate=261.5787080882621, m15_rate=569.3600455245776) (max=2.7337879999999997, min=0.0361, mean=0.16867639999999987, p95=0.33569899999999997, p99=2.7337879999999997)] duration_units=milliseconds, rate_units=events/minute
2020-08-07 11:48:16,245 - fs.fileAttributeOp [(count=0, m1_rate=0.0, m5_rate=0.0, m15_rate=0.0) (max=0.0, min=0.0, mean=0.0, p95=0.0, p99=0.0)] duration_units=milliseconds, rate_units=events/minute
2020-08-07 11:48:16,245 - ea [(count=21, m1_rate=0.7379315230941861, m5_rate=78.47361242647867, m15_rate=170.80801365737324) (max=4.2030829999999995, min=0.031, mean=0.25278, p95=0.125699, p99=4.2030829999999995)] duration_units=milliseconds, rate_units=events/minute
2020-08-07 11:48:16,245 - xmlrpc-tp [active-threads=8, idle-threads=6, jobs=0, utilization-max=0.01, percent-idle=0.75]
2020-08-07 11:48:16,245 - rest-tp [active-threads=8, idle-threads=6, jobs=0, utilization-max=0.02, percent-idle=0.75]
2020-08-07 11:49:16,172 - synch [(count=0, m1_rate=0.0, m5_rate=0.0, m15_rate=0.0) (max=0.0, min=0.0, mean=0.0, p95=0.0, p99=0.0)] duration_units=milliseconds, rate_units=events/minute
2020-08-07 11:49:16,173 - synch.af [(count=0, m1_rate=0.0, m5_rate=0.0, m15_rate=0.0) (max=0.0, min=0.0, mean=0.0, p95=0.0, p99=0.0)] duration_units=milliseconds, rate_units=events/minute
2020-08-07 11:49:16,173 - synch.ar [(count=0, m1_rate=0.0, m5_rate=0.0, m15_rate=0.0) (max=0.0, min=0.0, mean=0.0, p95=0.0, p99=0.0)] duration_units=milliseconds, rate_units=events/minute
2020-08-07 11:49:16,173 - synch.efl [(count=0, m1_rate=0.0, m5_rate=0.0, m15_rate=0.0) (max=0.0, min=0.0, mean=0.0, p95=0.0, p99=0.0)] duration_units=milliseconds, rate_units=events/minute
2020-08-07 11:49:16,173 - synch.gsm [(count=0, m1_rate=0.0, m5_rate=0.0, m15_rate=0.0) (max=0.0, min=0.0, mean=0.0, p95=0.0, p99=0.0)] duration_units=milliseconds, rate_units=events/minute
2020-08-07 11:49:16,173 - synch.gst [(count=0, m1_rate=0.0, m5_rate=0.0, m15_rate=0.0) (max=0.0, min=0.0, mean=0.0, p95=0.0, p99=0.0)] duration_units=milliseconds, rate_units=events/minute
2020-08-07 11:49:16,173 - synch.ls [(count=0, m1_rate=0.0, m5_rate=0.0, m15_rate=0.0) (max=0.0, min=0.0, mean=0.0, p95=0.0, p99=0.0)] duration_units=milliseconds, rate_units=events/minute
